timestamp,source,container,metric,value
1784531716.1213484,rag_service,,ram_used_mb,2035.53515625
1784531716.1213484,rag_service,,ram_percent,26.7
1784531716.1213484,rag_service,,gpu_percent,0.0
1784531716.1480355,kg_service,,cpu_percent,0.0
1784531716.1480355,kg_service,,ram_used_mb,2035.53515625
1784531716.1480355,kg_service,,ram_percent,26.7
1784531716.1480355,kg_service,,gpu_percent,0.0
1784531718.6314228,rag_service,,cpu_percent,0.0
1784531718.6314228,rag_service,,ram_used_mb,2035.53515625
1784531718.6314228,rag_service,,ram_percent,26.7
1784531718.6314228,rag_service,,gpu_percent,0.0
1784531718.6779635,kg_service,,cpu_percent,0.0
1784531718.6779635,kg_service,,ram_used_mb,2035.53515625
1784531718.6779635,kg_service,,ram_percent,26.7
1784531718.6779635,kg_service,,gpu_percent,0.0
1784531720.9578636,rag_service,,cpu_percent,0.6
1784531720.9578636,rag_service,,ram_used_mb,2035.51953125
1784531720.9578636,rag_service,,ram_percent,26.7
1784531720.9578636,rag_service,,gpu_percent,0.0
1784531720.9883254,kg_service,,cpu_percent,0.6
1784531720.9883254,kg_service,,ram_used_mb,2035.51953125
1784531720.9883254,kg_service,,ram_percent,26.7
1784531720.9883254,kg_service,,gpu_percent,0.0
1784531723.5136316,rag_service,,cpu_percent,0.6
1784531723.5136316,rag_service,,ram_used_mb,2034.59765625
1784531723.5136316,rag_service,,ram_percent,26.6
1784531723.5136316,rag_service,,gpu_percent,0.0
1784531723.5412157,kg_service,,cpu_percent,0.0
1784531723.5412157,kg_service,,ram_used_mb,2034.59765625
1784531723.5412157,kg_service,,ram_percent,26.6
1784531723.5412157,kg_service,,gpu_percent,0.0
1784531725.9490538,rag_service,,cpu_percent,0.0
1784531725.9490538,rag_service,,ram_used_mb,2034.84375
1784531725.9490538,rag_service,,ram_percent,26.6
1784531725.9490538,rag_service,,gpu_percent,0.0
1784531725.9759235,kg_service,,cpu_percent,0.6
1784531725.9759235,kg_service,,ram_used_mb,2034.84375
1784531725.9759235,kg_service,,ram_percent,26.6
1784531725.9759235,kg_service,,gpu_percent,0.0
1784531728.2643638,rag_service,,cpu_percent,0.6
1784531728.2643638,rag_service,,ram_used_mb,2033.5078125
1784531728.2643638,rag_service,,ram_percent,26.6
1784531728.2643638,rag_service,,gpu_percent,0.0
1784531728.2895153,kg_service,,cpu_percent,0.6
1784531728.2895153,kg_service,,ram_used_mb,2033.5078125
1784531728.2895153,kg_service,,ram_percent,26.6
1784531728.2895153,kg_service,,gpu_percent,0.0
1784531730.7164912,rag_service,,cpu_percent,27.9
1784531730.7164912,rag_service,,ram_used_mb,2033.70703125
1784531730.7164912,rag_service,,ram_percent,26.6
1784531730.7164912,rag_service,,gpu_percent,0.0
1784531730.7448463,kg_service,,cpu_percent,0.0
1784531730.7448463,kg_service,,ram_used_mb,2037.83203125
1784531730.7448463,kg_service,,ram_percent,26.7
1784531730.7448463,kg_service,,gpu_percent,0.0
1784531733.4243066,rag_service,,cpu_percent,0.0
1784531733.4243066,rag_service,,ram_used_mb,2037.83203125
1784531733.4243066,rag_service,,ram_percent,26.7
1784531733.4243066,rag_service,,gpu_percent,0.0
1784531733.4475427,kg_service,,cpu_percent,0.6
1784531733.4475427,kg_service,,ram_used_mb,2037.83203125
1784531733.4475427,kg_service,,ram_percent,26.7
1784531733.4475427,kg_service,,gpu_percent,0.0
1784531735.6822212,rag_service,,cpu_percent,0.0
1784531735.6822212,rag_service,,ram_used_mb,2037.4453125
1784531735.6822212,rag_service,,ram_percent,26.7
1784531735.6822212,rag_service,,gpu_percent,0.0
1784531735.7111094,kg_service,,cpu_percent,0.6
1784531735.7111094,kg_service,,ram_used_mb,2037.4453125
1784531735.7111094,kg_service,,ram_percent,26.7
1784531735.7111094,kg_service,,gpu_percent,0.0
1784531737.8714976,rag_service,,cpu_percent,5.5
1784531737.8714976,rag_service,,ram_used_mb,2039.46875
1784531737.8714976,rag_service,,ram_percent,26.7
1784531737.8714976,rag_service,,gpu_percent,0.0
1784531737.8950663,kg_service,,cpu_percent,3.8
1784531737.8950663,kg_service,,ram_used_mb,2034.61328125
